timestamp	commit	metric	value	status	description
2026-08-04T22:10+08:00	5086fc5	test_count	154→175/+21	keep	F5 sort_by (12 tests: name/content_len/tag_count/created_at/updated_at asc+desc, invalid field, empty, single, no-mutation) + F6 merge (9 tests: add new, skip conflict, empty other/target, preserve data, all-conflict, partial-conflict, sorted returns). Zero regressions.
2026-08-05T03:00+08:00	691dec9	test_count	175→196/+21	keep	F7 manager edge cases: partial updates, persistence, corrupted file recovery, import overwrite, render edge cases, clone error paths, get_stats with data. Zero regressions.
2026-08-08T22:10+08:00	67c2d21	test_count	196→217/+21	keep	F7 rename_template (9 tests: basic/description/timestamp/not-found/exists/invalid/persist/same-name/special-chars) + F8 add_tag (5 tests: basic/idempotent/persist/not-found/timestamp) + remove_tag (7 tests: basic/not-present/persist/not-found/timestamp/remove-all/roundtrip). Zero regressions.
2026-08-09T22:10+08:00	aa3d39c	test_count	217→234/+17	keep	F9 TemplateCollection.filter(predicate) (6 tests) + F10 Template.to_json/from_json (5 tests) + F11 TemplateCollection.group_by_tag (6 tests). Zero regressions.
2026-08-10T19:05+08:00	d4b04fb	test_count	234→248/+14	keep	F12 find_similar(): token Jaccard similarity for TemplateCollection (14 tests: basic/identical/zero-overlap/empty/not-found/top-k/single/case-insensitive/rounding/long-subset/manager-integration/sorted/special-chars/zero-topk). Zero regressions.
2026-08-10T19:15+08:00	1b56a57	test_count	248→259/+11	keep	F13 search_by_variables(): find templates using specific variables (any/all modes, 11 tests: any/all/single/no-match/empty/invalid/case-sensitive/dupes/many/same-var-twice/manager). Zero regressions.
2026-08-10T19:25+08:00	5415a69	test_count	259→267/+8	keep	F14 content_stats(): aggregate content metrics — total/avg chars, tokens, variables, longest/shortest (8 tests: empty/single/multiple/vars/long-short/empty-content/manager/keys). Zero regressions.
2026-08-17T03:25+08:00	b21d0ee	267	283	+16	fix render backslash + F15 export_markdown	283/283	keep
timestamp	commit	metric	value	status	description
2026-08-18T19:00+08:00	a33c769	test_count	283→308/+25	keep	CLI error-path tests: list/search empty, show/edit/delete not-found, render missing vars, import invalid JSON. Coverage 95%→99%.
2026-08-18T19:10+08:00	c73185f	test_count	308→317/+9	keep	TemplateCollection.recent(n) + CLI recent command.
2026-08-18T19:15+08:00	f478662	test_count	317→324/+7	keep	Template.validate(): empty content, unbalanced braces, lone brace detection.
2026-08-28T03:32+08:00	f478662	test_count	324→327/+3	keep	Bug: utils.substitute_variables() passed values as re.sub replacement strings — backslash values crashed render (re.error bad-escape/invalid-group). Windows-path values in --vars broke CLI render. Fixed with lambda replacement (literal semantics). KEY MISS: b21d0ee (08-17) fixed the SAME bug in models.Template.render() but missed this duplicate implementation — CLI render path (manager→utils) stayed broken. Family: duplicate-code hereditary bugs. 3 red-verified regression tests (2 unit + 1 CLI). 327/327.
2026-08-30T21:25+08:00	4d04624	test_count	327→342/+15	keep	F16 core: Template.from_markdown() + TemplateCollection.import_markdown() — markdown round-trip closes the export-only gap (F2/F15 had no inverse). Red-verified TDD (15 failed pre-impl). Fence-state parser: H2-in-content safe, Contents section skipped, Variables line derived not parsed.
2026-08-30T21:30+08:00	4f68992	test_count	342→350/+8	keep	F16 CLI wiring: PromptManager.export_markdown_file/import_markdown_file + export/import --format markdown (json default backward-compat). 1 test-authoring bug caught at green: overwrite scenario counted a template absent from stale md — expectation fixed, impl correct.
2026-08-30T21:35+08:00	149ccd1	test_count	350→350 (dup removed)	keep	Refactor: _merge_templates() single source for import merge loop (identical existing/overwrite/delete/add/save in JSON + markdown import paths). Hereditary-dup-bug family prevention per 08-28 tsv lesson. Behavior identical 350/350 x2.
2026-08-30T21:40+08:00	420dab9	docs	README/CHANGELOG F16	keep	Docs catch-up: README template-tools line + API snippets, CHANGELOG F16 entry, test count 327→350.
